,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,0103,1339.89,1135.5,590.46,454.2,7,0,2
1,0105,1209.54,1158.43,519.59,545.14,12,0,4
2,0107,1803.28,1233.07,648.61,242.34,10,0,6
3,0139,1515.35,1074.77,514.02,307.08,9,0,7
4,0140,1171.17,1122.03,393.12,466.83,10,0,5
5,0158,1384.08,1197.23,602.08,560.55,14,0,1
6,0165,1169.23,992.31,430.77,369.23,10,0,5
7,0178,1535.99,1085.65,651.39,623.24,11,0,0
8,0200,1236.26,947.8,700.55,714.29,9,0,2
9,0219,1531.37,913.28,479.7,415.13,16,0,2
10,0300,1571.07,1105.57,448.88,332.5,11,0,6
11,0308,1361.7,1029.79,527.66,561.7,6,0,1
12,0310,1521.24,1102.18,660.16,396.1,11,0,2
13,0318,1406.18,935.92,373.44,350.39,14,0,3
14,1003,1570.47,1147.65,496.64,208.05,6,0,3
15,1021,1377.74,1074.94,476.91,401.21,10,0,4
16,1023,1259.54,941.48,801.53,788.8,9,0,3
17,1057,1440.36,1116.75,463.2,348.98,7,0,2
18,1069,1262.21,1164.5,553.75,700.33,8,0,6
19,1097,1480.76,1076.32,554.47,463.14,11,0,3
20,1100,1512.75,1055.41,474.93,299.03,5,0,2
21,1112,1344.32,1204.82,443.88,418.52,11,0,3
22,1508,1297.1,1086.96,485.51,311.59,11,0,3
23,1520,1286.76,962.01,569.85,404.41,4,0,3
24,1528,1395.35,1136.21,524.92,524.92,9,0,3
25,1532,1199.71,1142.24,387.93,517.24,13,0,4
26,2018,1243.9,1349.59,406.5,365.85,9,0,3
27,2030,1313.41,1153.58,486.45,416.96,10,0,4
28,2034,1316.38,867.61,635.75,359.01,13,0,5
